neighborhood,pop,Murder,Rape,Robbery,Armed Robbery,Agg. Assault,Agg. Assault w/ Gun,all_person,Burglary,Larceny,Auto Theft,Arson,all_property,total,points
Peabody-Darst-Webbe,2378,0,5,11,7,32,15,48,31,81,16,2,130,178,"421.564,545.273 396.886,540.129 392.399,553.107 390.46,563.037 387.346,572.344 396.022,576.573 398.994,573.442 412.449,558.483 418.137,552.292"
Penrose,6387,5,11,41,29,111,59,168,140,257,115,9,521,689,"247.058,344.629 259.792,325.096 264.874,327.205 268.092,324.048 272.951,325.744 279.389,315.646 284.304,317.896 292.68,321.399 301.058,321.981 321.07,321.283 330.969,320.7 336.49,323.623 339.477,325.716 341.415,328.754 321.234,339.251 300.604,367.162"
Princeton Heights,7619,0,1,8,5,26,12,35,45,127,21,0,193,228,"102.466,673.254 97.233,700.838 96.613,703.996 94.221,707.729 92.734,711.712 92.437,715.563 91.984,719.312 94.221,725.508 99.3,734.969 128.62,716.858 131.012,714.286 141.625,705.055 147.919,700.956 163.896,691.598 163.896,681.089 159.27,677.686 153,677.107 107.833,671.961"
Riverview,304,1,0,4,4,10,5,15,3,49,4,0,56,71,"351.461,156.473 353.477,155.722 358.558,149.646 363.793,145.511 384.58,135.349 398.736,124.336 414.944,110.167 429.463,97.809 429.387,95.935 430.796,95.65 439.986,87.545 450.381,73.777 458.384,67.663 467.96,59.957 479.712,37.051 482.682,21.136 483.965,16.005 482.841,3 513.867,6.038 542.125,12.153 528.682,27.251 520.599,39.609 513.413,52.434 510.736,70.39 505.334,77.862 484.702,99.321 456.896,112.145 441.926,124.749 408.432,149.712 392.582,170.706 368.045,166.105 366.185,166.208 363.211,166.105 360.071,164.76 355.286,161.372"
Shaw,6811,0,3,25,17,14,6,42,68,228,70,0,366,408,"232.412,547.265 230.022,557.903 225.975,579.867 283.397,585.466 290.572,552.515"
Skinker-DeBaliviere,4077,0,3,14,8,3,1,20,67,202,30,1,300,320,"67.345,441.921 73.613,416.686 133.43,422.542 129.926,444.841 127.74,444.493 126.836,449.806 77.285,444.66 77.131,443.614 75.85,443.02"
Soulard,3440,1,0,17,13,24,13,42,25,195,41,0,261,303,"437.441,561.642 435.048,567.354 428.738,573.663 421.28,581.495 410.796,595.638 401.23,610.248 398.257,610.945 378.659,636.323 377.755,639.125 374.16,632.688 372.064,627.077 371.642,623.562 375.362,608.486 381.658,584.884 382.989,581.963 385.834,581.032 388.976,573.56 395.993,576.247 398.257,574.839 413.379,571.647"
South Hampton,6904,0,2,8,2,12,6,22,41,166,35,1,243,265,"99.004,633.967 98.266,637.702 97.968,641.917 97.814,646.017 99.172,649.288 101.847,652.206 104.989,653.969 105.44,656.77 102.466,673.357 107.833,672.077 153.143,677.107 161.079,662.135 161.83,655.711 172.146,640.173 164.675,640.173 160.175,639.926"
Southwest Garden,4885,0,1,11,8,10,3,22,39,171,31,1,242,264,"110.676,594.706 184.854,602.062 189.79,576.469 208.329,578.005 209.688,568.413 219.991,553.69 220.584,551.351 231.212,552.292 232.412,547.149 218.502,546.102 196.358,546.683 192.027,566.655 171.072,571.685 166.16,572.266 121.897,568.529 118.756,585.13 115.911,589.19"
St. Louis Hills,7373,0,1,4,4,10,1,15,16,142,20,0,178,193,"99.198,735.061 89.837,741.847 65.329,717.996 55.892,708.352 51.042,703.207 46.391,700.982 40.946,694.03 30.101,682.977 28.161,678.062 23.739,667.901 22.382,663.221 29.803,658.192 35.634,654.508 41.154,651.758 82.288,632.301 86.489,631.834 99.198,633.348 97.543,642.359 97.994,646.907 99.933,650.542 104.109,653.344 105.622,656.498 96.805,703.84 93.058,709.684 92.022,716.949 92.022,721.732"
St. Louis Place,2939,1,8,18,14,48,25,75,45,80,36,3,164,239,"388.224,406.28 384.023,407.676 382.536,411.075 382.989,453.467 448.041,467.129 448.945,464.322 448.041,462.1 442.805,460.343 439.662,459.181 437.441,454.396 417.84,417.021 415.58,414.449 399.446,410.947"
The Hill,2443,0,1,3,2,9,1,13,21,120,32,0,173,186,"201.143,520.856 195.777,521.319 189.79,521.785 178.119,525.534 120.708,532.54 119.351,540.958 119.507,543.296 121.743,547.833 123.54,550.175 124.005,554.737 121.897,568.052 164.35,572.147 170.659,571.685 192.183,566.425"
The Ville,1868,1,2,10,4,35,18,48,52,68,25,1,146,194,"260.22,409.537 278.319,383.27 318.548,400.683 299.984,426.602"
